,county,year,area (HA),production (MT),yield (MT/HA),crop
0,Baringo,2012,1110.0,906.0,0.82,sorghum
1,Bomet,2012,426.0,584.0,1.37,sorghum
2,Bungoma,2012,1034.0,1154.0,1.12,sorghum
3,Busia,2012,7683.0,8627.0,1.12,sorghum
4,Elgeyo/Marakwet,2012,1187.0,2448.0,2.06,sorghum
5,Embu,2012,5824.0,4154.0,0.71,sorghum
6,Garissa,2012,120.0,9.0,0.08,sorghum
7,Homabay,2012,17155.0,23955.0,1.4,sorghum
8,Isiolo,2012,46.0,21.0,0.46,sorghum
9,Kajiado,2012,69.0,16.0,0.24,sorghum
10,Kakamega,2012,347.0,331.0,0.95,sorghum
11,Kericho,2012,490.0,686.0,1.4,sorghum
12,Kiambu,2012,0.0,0.0,0.0,sorghum
13,Kilifi,2012,542.0,131.0,0.24,sorghum
14,Kirinyaga,2012,1300.0,944.0,0.73,sorghum
15,Kisii,2012,125.0,137.0,1.09,sorghum
16,Kisumu,2012,11645.0,11823.0,1.02,sorghum
17,Kitui,2012,58532.0,20430.0,0.35,sorghum
18,Kwale,2012,958.0,196.0,0.2,sorghum
19,Laikipia,2012,1050.0,1417.0,1.35,sorghum
20,Lamu,2012,466.0,253.0,0.54,sorghum
21,Machakos,2012,11539.0,4928.0,0.43,sorghum
22,Makueni,2012,22739.0,11562.0,0.51,sorghum
23,Mandera,2012,285.0,11.0,0.04,sorghum
24,Marsabit,2012,49.0,13.0,0.27,sorghum
25,Meru,2012,14745.0,15421.0,1.05,sorghum
26,Migori,2012,7215.0,9489.0,1.32,sorghum
27,Mombasa,2012,8.0,4.0,0.45,sorghum
28,Murang'a,2012,437.0,217.0,0.5,sorghum
29,Nairobi ,2012,18.0,4.0,0.22,sorghum
30,Nakuru,2012,730.0,924.0,1.27,sorghum
31,Nandi,2012,160.0,209.0,1.3,sorghum
32,Narok,2012,1115.0,825.0,0.74,sorghum
33,Nyamira,2012,279.0,340.0,1.22,sorghum
34,Nyandarua,2012,24.0,21.0,0.88,sorghum
35,Nyeri,2012,21.0,9.0,0.44,sorghum
36,Samburu,2012,225.0,925.0,4.11,sorghum
37,Siaya,2012,19185.0,19707.0,1.03,sorghum
38,Taita/Taveta,2012,290.0,104.0,0.36,sorghum
39,Tana River,2012,289.0,37.0,0.13,sorghum
40,Tharaka-Nthi,2012,27331.0,17779.0,0.65,sorghum
41,Trans Nzoia,2012,327.0,378.0,1.16,sorghum
42,Turkana,2012,3974.0,3209.0,0.81,sorghum
43,Uasin Gishu,2012,109.0,99.0,0.91,sorghum
44,Vihiga,2012,344.0,300.0,0.87,sorghum
45,Wajir,2012,125.0,63.0,0.5,sorghum
46,West Pokot,2012,1732.0,1521.0,0.88,sorghum
47,Baringo,2013,948.0,822.0,0.87,sorghum
48,Bomet,2013,660.0,584.0,0.88,sorghum
49,Bungoma,2013,1472.0,1594.0,1.08,sorghum
50,Busia,2013,12809.0,17752.0,1.39,sorghum
51,Elgeyo/Marakwet,2013,917.0,1772.0,1.93,sorghum
52,Embu,2013,5910.0,5942.0,1.01,sorghum
53,Garissa,2013,48.0,11.0,0.23,sorghum
54,Homabay,2013,17665.0,23470.0,1.33,sorghum
55,Isiolo,2013,144.0,89.0,0.62,sorghum
56,Kajiado,2013,115.0,82.0,0.71,sorghum
57,Kakamega,2013,1309.0,940.0,0.72,sorghum
58,Kericho,2013,726.0,1403.0,1.93,sorghum
